============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
Graph_GAP_sssp-14                             | 17.6M->17.6M (-0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 51.4M->49.4M (-3.9%) / 17.9M->9.7M (-46.1%) / 34.9->19.6 (-15.34) | 10.4M->9.0M (-12.8%) / 4.3M->3.9M (-9.5%) / 41.2->42.8 (+1.54) | 4.3M->3.7M (-12.8%) / 2.2M->1.5M (-32.5%) / 50.7->39.3 (-11.43)
Graph_GMS_gms.k_clique_count_set_based.soc-.. | 19.0M->18.9M (-0.2%) / 139.0->139.0 (+0.0%) / 0.0->0.0 (+0.00) | 25.2M->24.4M (-3.2%) / 2.3M->1.0M (-54.9%) / 9.0->4.2 (-4.79) | 524.7k->383.0k (-27.0%) / 524.7k->138.8k (-73.5%) / 100.0->36.2 (-63.76) | 524.7k->54.0k (-89.7%) / 524.7k->44.4k (-91.5%) / 100.0->82.3 (-17.73)
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. | 19.5M->19.5M (-0.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 39.3M->39.1M (-0.7%) / 5.5M->4.4M (-19.0%) / 13.9->11.3 (-2.56) | 3.9M->3.6M (-6.0%) / 1.0M->953.5k (-6.5%) / 26.3->26.2 (-0.14) | 1.0M->940.5k (-7.8%) / 676.4k->595.3k (-12.0%) / 66.3->63.3 (-3.02)
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. | 17.1M->17.1M (-0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 38.1M->37.9M (-0.7%) / 5.9M->4.8M (-19.4%) / 15.6->12.7 (-2.94) | 4.1M->3.8M (-6.6%) / 1.2M->1.2M (-0.4%) / 29.5->31.5 (+1.98) | 1.2M->1.2M (-2.2%) / 792.2k->777.1k (-1.9%) / 65.9->66.1 (+0.18)
Graph_GMS_gms.k_clique_list_danisch_node_pa.. | 1.6M->1.6M (+0.1%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 45.7M->45.6M (-0.4%) / 2.5M->1.9M (-24.6%) / 5.5->4.1 (-1.33) | 1.6M->1.5M (-4.4%) / 688.2k->599.0k (-13.0%) / 43.1->39.2 (-3.85) | 688.2k->589.7k (-14.3%) / 417.0k->324.6k (-22.2%) / 60.6->55.1 (-5.54)
Graph_GMS_gms.k_clique_list_danisch_node_pa.. | 1.5M->1.5M (+1.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 45.9M->45.6M (-0.5%) / 3.6M->2.8M (-21.8%) / 7.8->6.2 (-1.67) | 2.3M->2.2M (-4.0%) / 1.1M->941.5k (-11.6%) / 46.5->42.8 (-3.69) | 1.1M->923.9k (-13.3%) / 583.1k->469.2k (-19.5%) / 54.7->50.8 (-3.95)
Graph_GMS_gms.k_clique_list_danisch_serial... | 19.0M->18.9M (-0.3%) / 142.0->142.0 (+0.0%) / 0.0->0.0 (+0.00) | 25.2M->24.4M (-3.0%) / 2.3M->1.0M (-54.0%) / 8.9->4.2 (-4.70) | 524.7k->382.2k (-27.2%) / 524.7k->159.2k (-69.7%) / 100.0->41.7 (-58.35) | 524.7k->56.3k (-89.3%) / 524.7k->45.3k (-91.4%) / 100.0->80.6 (-19.44)
Graph_GMS_gms.k_clique_star_list.soc-pokec-.. | 5.0M->5.0M (-0.2%) / 18.0->18.0 (+0.0%) / 0.0->0.0 (+0.00) | 31.6M->31.5M (-0.2%) / 952.2k->378.3k (-60.3%) / 3.0->1.2 (-1.81) | 418.1k->252.7k (-39.6%) / 395.5k->126.6k (-68.0%) / 94.6->50.1 (-44.51) | 395.5k->122.8k (-68.9%) / 392.8k->112.8k (-71.3%) / 99.3->91.9 (-7.45)
Graph_GMS_gms.maximal_clique_enum_bron_kerb.. | 44.5M->44.3M (-0.4%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 44.4M->44.4M (+0.1%) / 12.4M->381.4k (-96.9%) / 27.9->0.9 (-27.04) | 1.4M->22.0k (-98.4%) / 1.2M->18.7k (-98.4%) / 85.3->84.9 (-0.32) | 1.2M->18.7k (-98.4%) / 294.6k->4.2k (-98.6%) / 24.9->22.6 (-2.25)
Graph_GMS_gms.triangle_count.soc-pokec-rela.. | 56.7k->55.7k (-1.8%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 34.6M->34.3M (-0.9%) / 4.6M->919.1k (-80.1%) / 13.3->2.7 (-10.67) | 1.6M->654.3k (-58.1%) / 1.5M->411.2k (-73.4%) / 98.9->62.9 (-36.06) | 1.5M->402.5k (-73.9%) / 1.5M->393.9k (-74.3%) / 99.4->97.9 (-1.51)
