================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
================================================================================================================================================================
Trace Name                          |     Base |      Exp |  Speedup |     Diff%
SPEC17_602.gcc_s-1850B              |    1.390 |    1.390 |    1.000 | +0.0%
SPEC17_602.gcc_s-734B               |    2.010 |    2.000 |    0.995 | -0.5%
SPEC17_603.bwaves_s-1740B           |    2.500 |    2.500 |    1.000 | +0.0%
SPEC17_603.bwaves_s-891B            |    1.670 |    1.670 |    1.000 | +0.0%
SPEC17_605.mcf_s-1536B              |    0.790 |    0.800 |    1.013 | +1.3%
SPEC17_605.mcf_s-1554B              |    0.680 |    0.680 |    1.000 | +0.0%
SPEC17_605.mcf_s-1644B              |    0.220 |    0.220 |    1.000 | +0.0%
SPEC17_605.mcf_s-472B               |    0.740 |    0.740 |    1.000 | +0.0%
SPEC17_605.mcf_s-484B               |    0.850 |    0.850 |    1.000 | +0.0%
SPEC17_607.cactuBSSN_s-2421B        |    2.740 |    2.740 |    1.000 | +0.0%
SPEC17_619.lbm_s-2676B              |    1.100 |    1.100 |    1.000 | +0.0%
SPEC17_619.lbm_s-2677B              |    0.610 |    0.610 |    1.000 | +0.0%
SPEC17_620.omnetpp_s-874B           |    0.550 |    0.550 |    1.000 | +0.0%
SPEC17_621.wrf_s-6673B              |    2.280 |    2.300 |    1.009 | +0.9%
SPEC17_623.xalancbmk_s-10B          |    0.600 |    0.600 |    1.000 | +0.0%
SPEC17_649.fotonik3d_s-1176B        |    3.330 |    3.330 |    1.000 | +0.0%
SPEC17_649.fotonik3d_s-7084B        |    2.700 |    2.700 |    1.000 | +0.0%
SPEC17_654.roms_s-293B              |    2.780 |    2.780 |    1.000 | +0.0%
SPEC17_654.roms_s-294B              |    2.570 |    2.580 |    1.004 | +0.4%
SPEC17_654.roms_s-523B              |    1.680 |    1.680 |    1.000 | +0.0%
ai-ml_bark.cpp-bark-small.coarse_.. |    3.260 |    3.260 |    1.000 | +0.0%
ai-ml_bark.cpp-bark-small.coarse_.. |    3.080 |    3.080 |    1.000 | +0.0%
ai-ml_bark.cpp-bark-small.coarse_.. |    2.650 |    2.660 |    1.004 | +0.4%
ai-ml_bark.cpp-bark-small.coarse_.. |    1.890 |    1.890 |    1.000 | +0.0%
ai-ml_biogpt.cpp-ggml-model-tocil.. |    0.590 |    0.590 |    1.000 | +0.0%
ai-ml_biogpt.cpp-ggml-model-tocil.. |    0.600 |    0.600 |    1.000 | +0.0%
ai-ml_biogpt.cpp-ggml-model-tocil.. |    0.590 |    0.590 |    1.000 | +0.0%
ai-ml_clip_trace_1                  |    3.540 |    3.540 |    1.000 | +0.0%
ai-ml_clip_trace_3                  |    3.210 |    3.210 |    1.000 | +0.0%
ai-ml_llama2.c-stories110M.1        |    1.940 |    1.950 |    1.005 | +0.5%
ai-ml_llama2.c-stories110M.2        |    1.930 |    1.930 |    1.000 | +0.0%
