============================================================================================================================================================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
============================================================================================================================================================================================================================================================================================================
Trace Name                                    |     Base |      Exp |  Speedup |     Diff%
Graph_GAP_bfs-10                              | 9.0M->9.0M (+0.0%) / 16.0->16.0 (+0.0%) / 0.0->0.0 (-0.00) | 41.6M->41.6M (-0.0%) / 3.4M->3.2M (-4.2%) / 8.1->7.7 (-0.34) | 2.8M->2.7M (-1.1%) / 507.6k->445.7k (-12.2%) / 18.4->16.3 (-2.06) | 451.0k->418.4k (-7.2%) / 427.9k->291.1k (-32.0%) / 94.9->69.6 (-25.30)
Graph_GAP_bfs-14                              | 9.9M->9.9M (+0.1%) / 16.0->16.0 (+0.0%) / 0.0->0.0 (-0.00) | 40.0M->40.0M (+0.0%) / 2.6M->2.5M (-3.6%) / 6.6->6.4 (-0.24) | 2.2M->2.2M (-0.8%) / 475.0k->443.0k (-6.7%) / 21.5->20.2 (-1.29) | 417.9k->405.8k (-2.9%) / 359.8k->273.6k (-23.9%) / 86.1->67.4 (-18.65)
Graph_GAP_cc-13                               | 1.9M->2.0M (+4.9%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 52.9M->53.0M (+0.1%) / 14.8M->14.8M (-0.5%) / 28.0->27.8 (-0.19) | 14.3M->14.3M (-0.0%) / 4.8M->4.8M (-0.4%) / 33.5->33.4 (-0.13) | 4.8M->4.7M (-0.5%) / 1.4M->1.7M (+23.1%) / 29.7->36.7 (+7.04)
Graph_GAP_cc-14                               | 1.9M->2.1M (+6.3%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 51.5M->51.6M (+0.3%) / 14.4M->14.5M (+0.2%) / 28.0->28.0 (-0.04) | 14.0M->14.0M (-0.0%) / 4.7M->4.7M (+0.5%) / 33.7->33.9 (+0.17) | 4.7M->4.7M (+0.5%) / 1.4M->1.7M (+25.1%) / 29.4->36.6 (+7.20)
Graph_GAP_cc-5                                | 2.3M->2.4M (+6.2%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 50.3M->50.5M (+0.3%) / 14.2M->14.3M (+0.2%) / 28.3->28.2 (-0.04) | 13.7M->13.7M (-0.0%) / 4.6M->4.6M (+0.5%) / 33.3->33.5 (+0.17) | 4.5M->4.6M (+0.5%) / 1.3M->1.7M (+25.7%) / 29.5->36.9 (+7.41)
Graph_GAP_sssp-10                             | 17.7M->17.6M (-0.1%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 49.0M->49.0M (+0.1%) / 9.8M->9.7M (-1.1%) / 20.0->19.8 (-0.24) | 9.1M->9.1M (-0.1%) / 3.8M->3.8M (-0.2%) / 42.3->42.2 (-0.04) | 3.7M->3.7M (+0.2%) / 1.2M->1.5M (+23.3%) / 32.4->39.8 (+7.47)
Graph_GAP_sssp-14                             | 17.6M->17.6M (-0.1%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 49.4M->49.4M (+0.2%) / 9.8M->9.7M (-1.3%) / 19.9->19.6 (-0.30) | 9.0M->9.0M (-0.1%) / 3.9M->3.9M (-0.3%) / 42.8->42.8 (-0.06) | 3.7M->3.7M (+0.0%) / 1.2M->1.5M (+22.1%) / 32.2->39.3 (+7.10)
Graph_GMS_gms.k_clique_count_set_based.soc-.. | 18.8M->18.9M (+0.4%) / 139.0->139.0 (+0.0%) / 0.0->0.0 (-0.00) | 24.6M->24.4M (-0.9%) / 935.6k->1.0M (+8.7%) / 3.8->4.2 (+0.37) | 221.7k->383.0k (+72.8%) / 132.5k->138.8k (+4.7%) / 59.8->36.2 (-23.55) | 36.3k->54.0k (+48.9%) / 36.3k->44.4k (+22.5%) / 100.0->82.3 (-17.73)
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. | 19.5M->19.5M (-0.0%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 39.1M->39.1M (-0.0%) / 4.4M->4.4M (-0.4%) / 11.4->11.3 (-0.04) | 3.6M->3.6M (-0.0%) / 955.0k->953.5k (-0.2%) / 26.2->26.2 (-0.03) | 941.1k->940.5k (-0.1%) / 605.9k->595.3k (-1.7%) / 64.4->63.3 (-1.09)
Graph_GMS_gms.k_clique_list_danisch_edge_pa.. | 17.1M->17.1M (-0.1%) / 0->0 (+0.0%) / 0.0->0.0 (+0.00) | 37.9M->37.9M (-0.0%) / 4.8M->4.8M (-0.7%) / 12.8->12.7 (-0.09) | 3.8M->3.8M (-0.1%) / 1.2M->1.2M (-0.3%) / 31.5->31.5 (-0.07) | 1.2M->1.2M (-0.0%) / 774.4k->777.1k (+0.4%) / 65.8->66.1 (+0.26)
