================================================================================================================================================================
1. IPC PERFORMANCE (Base -> Exp)
================================================================================================================================================================
Trace Name                          |     Base |      Exp |  Speedup |     Diff%
Graph_Ligra_ligra_Components-Shor.. | 26.2M->24.9M (-5.1%) / - | 15.4M->12.3M (-20.6%) / 19.2->34.5 (+15.32) | 2.0M->2.8M (+40.3%) / 16.5->22.9 (+6.45) | 124.1k->231.4k (+86.5%) / 41.7->31.2 (-10.50)
Graph_Ligra_ligra_Components-Shor.. |   4.1M->4.1M (+0.0%) / -   | 51.3M->52.0M (+1.3%) / 27.5->31.3 (+3.81) | 13.6M->15.1M (+10.4%) / 46.9->42.3 (-4.54) | 6.4M->6.3M (-0.3%) / 60.3->63.4 (+3.12)
Graph_Ligra_ligra_Components.com-.. |   9.9M->9.6M (-3.0%) / -   | 20.2M->19.1M (-5.2%) / 9.2->31.6 (+22.39) | 779.8k->2.8M (+257.8%) / 10.9->8.3 (-2.59) | 71.9k->88.7k (+23.4%) / 92.1->79.8 (-12.34)
Graph_Ligra_ligra_MIS.com-lj.ungr.. |  13.1M->12.5M (-4.5%) / -  | 20.1M->19.1M (-5.2%) / 9.2->31.6 (+22.42) | 777.9k->2.8M (+258.6%) / 11.8->8.3 (-3.48) | 72.5k->88.6k (+22.2%) / 92.2->79.9 (-12.28)
Graph_Ligra_ligra_MIS.com-lj.ungr.. |  15.8M->15.8M (+0.0%) / -  | 42.3M->45.6M (+7.8%) / 12.4->17.0 (+4.57) | 4.9M->6.1M (+24.3%) / 0.7->0.8 (+0.09) | 32.9k->41.5k (+26.4%) / 53.1->83.1 (+29.97)
Graph_Ligra_ligra_PageRank.com-lj.. |  18.6M->18.6M (-0.2%) / -  | 39.1M->40.0M (+2.3%) / 43.7->44.4 (+0.71) | 16.9M->17.4M (+2.8%) / 16.5->16.0 (-0.50) | 2.8M->2.7M (-0.4%) / 51.8->54.7 (+2.83)
Graph_Ligra_ligra_PageRankDelta.c.. | 27.8M->25.3M (-8.9%) / - | 15.5M->12.3M (-20.4%) / 19.3->34.8 (+15.53) | 2.0M->2.8M (+41.0%) / 16.8->23.4 (+6.58) | 129.0k->239.8k (+85.9%) / 41.8->30.5 (-11.31)
Graph_Ligra_ligra_PageRankDelta.c.. |  29.9M->29.7M (-0.6%) / -  | 26.7M->26.9M (+0.8%) / 20.0->24.1 (+4.12) | 4.6M->5.7M (+23.0%) / 25.2->19.1 (-6.03) | 870.5k->864.1k (-0.7%) / 68.8->69.8 (+0.98)
Graph_Ligra_ligra_PageRankDelta.c.. |   4.5M->4.6M (+2.8%) / -   | 32.7M->32.6M (-0.1%) / 5.2->13.9 (+8.75) | 1.1M->1.9M (+78.2%) / 50.0->39.4 (-10.58) | 220.1k->266.0k (+20.9%) / 75.0->71.2 (-3.84)
Graph_Ligra_ligra_Radii.com-lj.un.. |   6.4M->6.4M (+0.0%) / -   | 44.1M->45.7M (+3.8%) / 22.9->30.4 (+7.53) | 9.5M->11.6M (+21.9%) / 6.4->6.1 (-0.28) | 602.0k->682.5k (+13.4%) / 46.4->53.2 (+6.80)
Graph_Ligra_ligra_Radii.com-lj.un.. |  14.8M->14.8M (+0.0%) / -  | 38.9M->39.0M (+0.3%) / 20.8->26.9 (+6.03) | 6.1M->7.3M (+19.3%) / 83.6->70.9 (-12.68) | 4.9M->4.9M (+0.8%) / 95.3->95.6 (+0.36)
Graph_Ligra_ligra_Triangle.com-lj.. |   3.5M->3.5M (+0.5%) / -   | 45.1M->45.7M (+1.2%) / 11.6->18.8 (+7.22) | 4.9M->6.9M (+41.3%) / 25.0->18.4 (-6.59) | 1.2M->1.3M (+3.5%) / 42.6->52.8 (+10.18)
SPEC17_602.gcc_s-1850B              |  11.9M->11.9M (-0.3%) / -  | 34.7M->34.4M (-0.8%) / 4.1->24.3 (+20.19) | 729.3k->4.8M (+561.1%) / 13.8->4.0 (-9.79) | 96.0k->80.2k (-16.5%) / 68.1->90.4 (+22.23)
SPEC17_602.gcc_s-734B               |  37.3M->37.0M (-0.7%) / -  | 29.3M->28.1M (-4.0%) / 2.5->23.7 (+21.18) | 375.8k->3.6M (+848.5%) / 21.2->3.4 (-17.83) | 75.6k->79.1k (+4.7%) / 79.8->83.8 (+3.95)
SPEC17_603.bwaves_s-1740B           |  17.9M->17.9M (-0.0%) / -  | 47.8M->50.5M (+5.6%) / 2.8->8.0 (+5.28) | 1.2M->3.9M (+216.0%) / 13.4->25.2 (+11.83) | 114.6k->831.4k (+625.6%) / 78.8->17.9 (-60.94)
SPEC17_603.bwaves_s-891B            | 16.0->16.0 (+0.0%) / 43.8->43.8 (+0.00) | 33.8M->33.5M (-0.9%) / 5.0->33.9 (+28.88) | 174.6k->3.9M (+2111.1%) / 95.2->7.2 (-88.08) | 165.9k->166.0k (+0.1%) / 99.8->99.7 (-0.08)
SPEC17_605.mcf_s-1536B              |  37.7M->37.7M (-0.2%) / -  | 32.0M->32.4M (+1.1%) / 40.0->43.6 (+3.63) | 9.1M->10.5M (+16.0%) / 9.4->6.7 (-2.75) | 852.5k->701.3k (-17.7%) / 46.5->50.0 (+3.50)
SPEC17_605.mcf_s-1554B              |  34.5M->34.9M (+1.0%) / -  | 72.6M->75.6M (+4.2%) / 22.4->45.5 (+23.08) | 10.6M->30.8M (+190.6%) / 62.7->43.2 (-19.55) | 5.5M->9.6M (+75.3%) / 33.0->24.9 (-8.08)
SPEC17_605.mcf_s-1644B              |  17.0M->17.0M (-0.3%) / -  | 46.4M->47.6M (+2.6%) / 9.2->21.5 (+12.32) | 3.9M->9.2M (+135.2%) / 22.6->17.4 (-5.17) | 879.0k->1.3M (+48.1%) / 36.0->35.2 (-0.79)
SPEC17_605.mcf_s-472B               |  34.0M->33.9M (-0.2%) / -  | 51.4M->52.9M (+2.9%) / 13.1->21.6 (+8.51) | 4.5M->10.0M (+121.4%) / 65.2->51.3 (-13.87) | 2.1M->3.3M (+55.3%) / 71.4->65.5 (-5.91)
SPEC17_605.mcf_s-484B               |  32.9M->32.4M (-1.4%) / -  | 46.5M->47.5M (+2.0%) / 6.1->11.5 (+5.43) | 2.1M->4.9M (+130.5%) / 50.0->40.2 (-9.81) | 851.4k->1.5M (+77.3%) / 66.4->59.3 (-7.03)
SPEC17_607.cactuBSSN_s-2421B        |  35.5M->35.0M (-1.3%) / -  | 31.4M->31.9M (+1.7%) / 70.4->70.3 (-0.06) | 21.3M->21.5M (+0.9%) / 0.2->0.2 (+0.03) | 36.9k->41.8k (+13.3%) / 72.1->69.0 (-3.13)
SPEC17_619.lbm_s-2676B              |  34.3M->34.3M (+0.0%) / -  | 7.1M->7.5M (+6.0%) / 6.4->21.3 (+14.85) | 388.8k->1.3M (+242.7%) / 27.9->12.7 (-15.14) | 75.9k->122.0k (+60.6%) / 74.8->49.2 (-25.57)
