Summary for 1C.fullBW.bertiMcmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137    18664             0       0           0            38180095       2444274       27157901     3051055      1930458        855038       16507529     7472631      776809        747038        10466627     8894450     0.57
                           Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360    76669             7       0           0            38485042       2459133       27389054     3271219      1937197       1013400       15913717     7439901      941696        902546        10570294     9039949     0.56
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M  9960674             9       0           0            13017339       1223034        7726941     3223529       347331         19994        8927867     2803137        6549          5779         2999320     1930461     1.47
              Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 22479158             0       0           0            17460271       3412936        2915532     1185775      2204774        289736        9588183     3724983       89223         46710         3577879     1720852     1.93
        Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M 15055767             0       0           0            15527950       1187641       12679977     5551847       333809         31869       16196142     5351267        9464          9256         5344163     3522636     1.47
                Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M 21153805             0       0           0            18537829       1932143       10314534     6523315       399228         28123       16721941     7130120       11972          9293         6317395     4474918     1.82
                Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M  2694993             0       0           0            28660928       5152540       18740930     5540785      1426400       1092320       10834660     5846141     1042683        987142         7065527     6351587     1.01
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 26966778             0       0           0            17362504       3405702        2895948     1176296      2208234        288071        9880952     3846322       88821         46719         3586524     1729623     1.93
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M  4111899             0       0           0            49708910      13878736       27864510    11191143     13615028       6327888       39619337    11703117     6310627       3615627        25508406    14555193     0.42
         Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M 10188904           158       0           0            20370730       1807796       13135305     4500282       793685         74002       14202698     4413498       32259         23894         4761041     3158136     1.63
                Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M 13410590           158       0           0            20368178       1816459       13123845     4487499       791809         76287       14289313     4441519       31672         23724         4760826     3172164     1.63
                Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M 15764125             0       0           0            38409276       5093919       16939538     4835611      4938786          6116       25446118     1532445        6035          2312         2766350     1651792     2.15
           Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M 18319477            19       0           0            38738546      17202182       15925608     7843156     17054376       2796976       34656613     4885205     2779227       1390734        10969348     5515453     1.17
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M 29108689             0       0           0            17333047       3435920        2944633     1231245      2215883        372749       10966177     4420839      125196         49138         3595832     1728277     1.92
      Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M 30201188            39       0           0            26068986       5374906       10240113     3718283      4616769       1144174       20055183     7072341      871724        558288         8190815     5500452     1.02
       Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M  4525541            77       0           0            32599622       1665123       31503790     3809030      1105207        500285        9451289     4288854      215614        160198         3547571     2524774     1.08
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M  6396859             0       0           0            42711880       9810317       22293517     8744509      9507696        531208       37452707     4009848      528094        246766         7304311     4167609     1.01
              Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M 14696545           113       0           0            37780703       7634429       28633725    10715088      6061241       5044121       28029821    17205620     4825084       4579029        29939913    27097196     0.27
           Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M  3490365            46       0           0            43551285       5047230       27685332     7911685      4886322       1058687       24298745     4571395     1055387        346081        10237333     4409306     0.88
                                                                   SPEC17_602.gcc_s-1850B 12028252             0       0           0            34138608       1258936       30373766    10758208       768700         24472       25799081     9250922       22829         14061         7087405     4885040     1.52
                                                                    SPEC17_602.gcc_s-734B 37407487            93       0           0            28748040        581782       27467384     7713715       348791         37774       23039900     4560326       33057         26231         4045504     2834254     2.21
                                                                SPEC17_603.bwaves_s-1740B 17943610             0       0           0            45615909       1093674       12028230     3007801      1068896        117456       12607167     3866123      115822         17713         7174510     4184451     2.58
                                                                 SPEC17_603.bwaves_s-891B       14             7       0           0            31311076       1296902       30685696    12713802        16944          2087       23668391     8415904          57            23         7599538     5343262     1.90
                                                                   SPEC17_605.mcf_s-1536B 37419621             0       0           0            30040348      11203968       19313809    14522654      8247861       1027938       47618540    11959051      998601        540371        21382153    14346168     0.58
                                                                   SPEC17_605.mcf_s-1554B 34066147             0       0           0            71505888      17653741       47285684    31042272     12748929       6478853       97641744    54978507     4769844       1221442        85120332    28169067     0.70
                                                                   SPEC17_605.mcf_s-1644B 16996878             0       0           0            45808465       4023531       35736568    10286770      3947726        660350       40869881     8731515      657670        111700        16810561     8200668     0.22
                                                                    SPEC17_605.mcf_s-472B 33929691             6       0           0            49090665       6800002       31282765    11054709      4673773       2724668       35353739    21667173     1619006        962043        26906341    19350918     0.76
                                                                    SPEC17_605.mcf_s-484B 33186652             0       0           0            44039771       2745987       27638029     5517995      2153693       1018275       19299677     9243274      790914        454286        14258540    10304852     0.90
                                                             SPEC17_607.cactuBSSN_s-2421B 35432415          1084       0           0            31202907      21509733        7563359     2545626     20685041         30461       19821009     1510390       30281         26320         4857157     1618239     2.74
                                                                   SPEC17_619.lbm_s-2676B 34244203             0       0           0             6941980        387525        4143583     2088354       310768         77224        6285358     1765156       46126         27861         2577965     1686589     1.10
                                                                   SPEC17_619.lbm_s-2677B 33544427             0       0           0             7509046       1513792        4192175     2094312      1404394        325982        8552562     2988125      188669        117962         4526262     2989810     0.62
                                                                SPEC17_620.omnetpp_s-874B  6080895            78       0           0            38509344       3767570       12922336     3252178      2955833       1187897       10814644     4482473     1149990        828909         7623592     6319861     0.57
                                                                   SPEC17_621.wrf_s-6673B 30359046          5863       0           0            27601981       1945011       10071055     2036742      1447459        205110       13095266     3036840      127681         76340         3695886     2119115     2.27
                                                               SPEC17_623.xalancbmk_s-10B 24240679          4022       0           0            40531554       7406331       30461221     9637677      3837299       2374223       26352667    17237938     2028863       1419663        26558593    21855946     0.64
                                                             SPEC17_649.fotonik3d_s-1176B 30045224             0       0           0            26020020       1130951        9369391     2837941       522860         28092       15164721     3949089       13261         12331         3427176     2410726     3.47
                                                             SPEC17_649.fotonik3d_s-7084B 32549451             0       0           0            30650707       1274599        8320597     2398201      1165187         29565       19005507     3933012       25137         18262         6831202     3791267     2.80
                                                                   SPEC17_654.roms_s-293B 36426017           198       0           0            40236300        752386       10799517     1959706       602816         56368       13257207     2359520       49846         48215         3484867     2169497     2.62
                                                                   SPEC17_654.roms_s-294B 35603122             0       0           0            47395283        897587       12334062     2543908       695062         82068       16511252     3223321       71101         69084         4870551     3121548     2.39
                                                                   SPEC17_654.roms_s-523B 33606171            34       0           0            37972239       1797097       12082821     3696718       898689        202826       16848172     6234392      147091        104391         6889065     4796105     1.71
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.1 22556488             0       0           0            47351506       1967447       14135690     1284125      1514772        704893        8331849     2711213      436825        154890         1918573      949460     3.23
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.2 28267225           128       0           0            49704409      10676179       16734759     3772199      9612626        821299       17551952     2084977      451618        201509         2333100     1283945     3.00
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.4 31434341            58       0           0            51408815      12904857       17675116     3477513     12009229        897122       23492012     3515471      436794        217416         2384160     1537532     2.63
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.5 27752514           534       0           0            27960448      10643239       14755941     5262579      7660742       2047761       22608617    14701006      813241        636727         9054052     8020098     1.88
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.1 30500650          1810       0           0            60010983      29554525       23076319    12233465     25608239      23818641       67566400    64637068     7525000       7329981        46017675    45368606     0.59
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.2 30326305          3664       0           0            62012112      31575102       23933523    12834592     23890337      22162373       74427467    71546655     4093960       3916984        47806220    47185764     0.60
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.3 30772052          1804       0           0            61875356      31526560       23493470    12898079     25004637      23112894       67453907    64856182     4747102       4561795        48677262    48012245     0.59
                                                                       ai-ml_clip_trace_1 22851113             0       0           0            46610670       3187239       15315321     1666708      1661677        276253       10175952     2735891      117328         75642         1316929     1141965     3.54
                                                                       ai-ml_clip_trace_3 22494270           138       0           0            45853751       3381540       16364387     1858996      1745260        328610       10851091     3328232      146605         68493         1707351     1363524     3.20
                                                             ai-ml_llama2.c-stories110M.1 25089077           156       0           0            33626345      13751242       20451861    10181499      1174202        965435       30783455    29677798      117562        105620        13667081    13562854     2.06
                                                             ai-ml_llama2.c-stories110M.2 25554479           160       0           0            32708378      13869199       21807908    10854360       914576        818633       31756891    31236150      123225        108520        13657862    13535693     2.05
                                                             ai-ml_llama2.c-stories110M.3 25082088           169       0           0            34481716      14144600       20899055    10132238      1233747       1009908       30143100    29157938      108998         99266        13673190    13558143     2.02
                                                              ai-ml_llama2.c-stories15M.1 17381072            51       0           0            34340397      12791559       19764081     9196179      1303136        953787       27610248    25582573      176592        137626        13104501    12496322     2.30
                                                              ai-ml_llama2.c-stories15M.2 17704752             4       0           0            34595430      12182633       19764144    10052470      1057993        762181       28185259    25785612      144306        114565        12864609    12270747     2.28
                                                              ai-ml_llama2.c-stories15M.3 17663839             0       0           0            34482159      11754071       19655770     8745306      1364696        918214       25846059    22872919      210085        169418        12791471    12122425     2.31
                                                              ai-ml_llama2.c-stories42M.1 22042966            14       0           0            33736705      12840251       17968979    11553268       949781        653206       30013178    28410718       79519         71970        13593758    13377782     2.44
                                                              ai-ml_llama2.c-stories42M.2 22962610           144       0           0            32404134      13993982       20421365     9967181      1203768       1026223       29632949    28708245       87426         65859        13557045    13292478     2.35
                                                              ai-ml_llama2.c-stories42M.3 22008525             7       0           0            32978475      13154583       18283574    12240465       784907        563468       31097862    29644764       80691         63093        13580324    13331965     2.36
                                                                       ai-ml_rwkv_trace_1 43361781             0       0           0            35325196      31996114        3331540     1265462     31939599       9651608       82354658    33193126     6742733       3159340        57510140    39511058     0.12
                                                                       ai-ml_rwkv_trace_2 38661966             0       0           0            50080675      23856335       13473322     4050669     20225817      19969864       79196925    77219770     7132774       6832846        34932112    34781545     0.68
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.1 50081973             0       0           0            57653777      42238737       26881012    18810280     35383944       2129094       30366129     3508316     1014577        520235         3785749     2814030     2.27
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.2 44166279             0       0           0            56723462      23542268       18332325     4810491     22119683       1424376       29810499     4021003      541217        519808         2418387     2351923     2.61
                                         ai-ml_stable-diffusion.cpp-v1-5-pruned-emaonly.2 39952213           105       0           0            48843891      24975784       22549128     9019021     21934813        919085       20059470     1212547      671893        334741         1831687     1038775     2.59
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.1 21382003           155       0           0            77694678      29418102       30378758     7916561     27510429       1821214       34424795     2511771      633311        501930         3509892     2881920     1.72
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.2 47276995             0       0           0            58725316      25013460       20417938     5965422     22842074       1412900       32462249     4007153      284480        233399         2789870     2592298     2.55
                                      ai-ml_stable-diffusion.cpp-v2-1_768-nonema-pruned.3 44170684             0       0           0            56782194      23395145       18320688     5010582     22000306       1409130       29293455     3039912      538555        514489         2421634     2357150     2.62
                                       ai-ml_vit.cpp-base-ggml-model-f16.gguf.armadillo.1 27610861            97       0           0            47677096      10352466       15346518     3649412      7287380        334528       22386001     2158828      149799         70367         1586119     1045181     3.39
                                      ai-ml_vit.cpp-large-ggml-model-f16.gguf.armadillo.1 26280600           125       0           0            47155263       5697529       15408204     2427521      3742372        285348       12188048     1655271      135882        102775         1516139     1235539     3.47
                                                                    ai-ml_whisper_trace_1 21303845             0       0           0            51791977       4616779       14302716     1338258      4211476       1040192       14625192     4444834      406986        291431         2190292     1890925     2.96
                                                                    ai-ml_whisper_trace_2 21303781             0       0           0            51462426       4387327       14211725     1369321      3982959       1044991       13605100     4475406      402074        285649         2193999     1895459     2.98
                                                                    ai-ml_whisper_trace_3 21303813             0       0           0            51521191       3983889       14151818     1283079      3593111       1038224       13664177     4449479      405007        286458         2193763     1893127     2.98
                                                                  gtraces_v2_arizona_0000 19786057         52310       0           0            32149411        611640       22191338      788907       537126        174560        3887513      872611      107057         80357         1081619      763446     1.70
                                                                  gtraces_v2_arizona_0001 21075515         55101       0           0            32541936        732786       22941059      814411       615551        224103        4529981      995557      126762         89375         1049714      742485     1.71
                                                                  gtraces_v2_arizona_0002 26921182        213829       0           0            23835712        695950       16500407     1303542       658950        259070        4859129     1333295      241728        162627         1651195     1166311     1.98
                                                                  gtraces_v2_charlie_0000 12693596        768404       0           0            32119845        576957       21836802     1089940       965296        141055        6391822     1390097      120547        106576         1738898     1297177     1.36
                                                                  gtraces_v2_charlie_0001 13521236       1345142       0           0            32522197        974610       24237241     1811225      1682426        168633       10985376     2043025      140571        121540         2305907     1691890     1.27
                                                                  gtraces_v2_charlie_0002 14939929       1450342       0           0            31278315       1658088       21323503     2155396      2202815        495966       12121366     3174575      444313        378819         3665561     2938200     0.87
                                                                  gtraces_v2_charlie_0003 17319622        849906       0           0            30512311       3829017       19474366     3562645      3877777        770684       14521352     3873854      685154        562212         5020772     4232070     0.79
                                                                  gtraces_v2_charlie_0004 19434404        938894       0           0            29940906       1387370       14564024     1414917      1792695        450343        7545034     2258933      402301        343116         2713856     2223495     0.99
                                                                   gtraces_v2_merced_0000 12135774       1107588       0           0            32676317       2710481       17569928     2458352      2670105        664603       11977982     3305814      571599        479135         3338110     2707935     0.76
                                                                   gtraces_v2_merced_0001 15566701       2320797       0           0            33200558       3193786       19800980     3255110      4094910       1156017       19118553     5288019     1019921        868951         5675454     4668181     0.58
                                                                   gtraces_v2_merced_0002 15688341       2016254       0           0            30373244       2388216       18032213     2674099      3321146       1006960       16165289     5491300      847444        714549         5184119     4283136     0.62
                                                                   gtraces_v2_merced_0003 16159678       2090315       0           0            30434736       2745642       17696601     2695480      3620240       1182776       15747871     5487608     1036399        907593         5534698     4669270     0.58
                                                                   gtraces_v2_merced_0004 15961152       2017524       0           0            28660622       2485247       17169734     2813380      3365721        926573       15411817     4885690      796330        661578         4769445     3880486     0.65
                                                               gtraces_v2_sierra.a.3_0000 20635489       8906801       0           0            35626021       3399769       20201384     3789416      9414080       1845309       33579683     9295994     1559546       1104581         8634518     6199609     0.42
                                                               gtraces_v2_sierra.a.3_0001 20949221       6603735       0           0            33595349       2665063       17906242     2814916      7148155       1391828       25698323     6769657     1167803        851079         6330114     4605478     0.52
                                                               gtraces_v2_sierra.a.3_0002 21143972       6911495       0           0            33825780       2851108       18131550     2931260      7557576       1445299       26985580     6989256     1217071        849781         6584544     4646004     0.51
                                                               gtraces_v2_sierra.a.3_0003 21710834       6525396       0           0            35074555       3354890       19486140     3362815      7680629       1451951       28513704     7356598     1198998        912912         6670889     5000359     0.50
                                                               gtraces_v2_sierra.a.3_0004 20503356       7029635       0           0            35589030       3398966       20285422     3512043      8071023       1539291       29940334     7772301     1279612        913086         7151525     5160630     0.49
                                                               gtraces_v2_sierra.a.4_0000 21380273       5245714       0           0            35672453       3717197       20457723     3458070      7022085       1720411       26541302     8152092     1432853       1137270         7136376     5600615     0.45
                                                               gtraces_v2_sierra.a.4_0001 22175872       7428893       0           0            37135542       4125952       21291968     3757518      9023088       2237694       30702623     9740832     1878051       1387559         9031234     6604228     0.37
                                                               gtraces_v2_sierra.a.4_0002 22897978       6849698       0           0            34455838       3685470       19446844     3225481      8261057       2038670       29177500     9355918     1708078       1288095         8175779     6132166     0.39
                                                               gtraces_v2_sierra.a.4_0003 19980707       5269663       0           0            33658162       3338191       19399057     3046348      6630791       1723671       23961598     7761739     1453043       1128530         7175233     5502198     0.45
                                                               gtraces_v2_sierra.a.4_0004 20403167       4255699       0           0            32696551       3493628       18624068     3373669      5973479       1556528       23102722     8573444     1296047       1048911         8180572     6747464     0.47
                                                               gtraces_v2_sierra.a.6_0000 22940445       9884427       0           0            34689233       3333980       20388138     3675761     10016652       1382025       34483147     6492974     1198373        903970         6741782     4912083     0.48
                                                               gtraces_v2_sierra.a.6_0001 21132952       8894161       0           0            33651730       3775503       20426445     4475240      9516157       1628499       35993002    10531791     1349153       1038463         9817207     7810736     0.46
                                                               gtraces_v2_sierra.a.6_0002 23000276       9456086       0           0            34552988       3264428       20430554     3538831      9684042       1632217       33194028     7572788     1400530       1023973         7517786     5408714     0.46
                                                               gtraces_v2_sierra.a.6_0003 22371006       9612612       0           0            34628732       3615717       20630052     4036437     10021883       1733810       35687977     9178291     1460614       1097125         8904352     6718785     0.44
                                                               gtraces_v2_sierra.a.6_0004 22685425      10166748       0           0            35132758       3392151       20842477     3725351     10308874       1563918       35343235     7385324     1346021        971746         7505734     5282111     0.46
                                                                    gtraces_v2_tahoe_0000 12826548       2033841       0           0            35719755       1778148       17784627     1820056      2944862        942222       11992051     4722182      804455        636426         4759604     3620645     0.64
                                                                    gtraces_v2_tahoe_0001 15655740       2406727       0           0            34418984       2413081       18518466     2452299      3686325       1248213       15237177     6327765     1053892        888788         5993005     4950378     0.54
                                                                    gtraces_v2_tahoe_0002  9296709        124189       0           0            30806388       2456186       16191218     2641337      1740861        681493        7940746     3423751      636186        548822         4261580     3444456     0.76
                                                                    gtraces_v2_tahoe_0003 15734602       2703984       0           0            34181885       2303544       19291567     2402409      3921471       1159141       15763045     6016907      971437        783399         5766371     4503135     0.53
                                                                    gtraces_v2_tahoe_0004 11974157       1711963       0           0            36458953       1759985       18819554     1763699      2643337        847851       10757488     4337368      715960        604627         4071839     3344144     0.65
                                                                    gtraces_v2_tango_0000 17279966       3756710       0           0            31888401       2171258       19119680     2275856      4530459        876264       17007468     4197080      782321        570053         4794321     3497699     0.59
                                                                    gtraces_v2_tango_0001 18285763       2218873       0           0            29264677       2012458       16681545     1939876      3133656        786611       12065341     3359263      718115        597732         4020322     3275848     0.68
                                                                    gtraces_v2_tango_0002 16522095       3584269       0           0            32290130       2173264       19327729     2494404      4398216        815966       17320524     4149595      727911        522657         4849074     3540254     0.62
                                                                    gtraces_v2_tango_0003 17529256       3504886       0           0            31574848       2277289       18534479     2276720      4403226        984216       16353174     4526654      879114        649955         5213035     3834603     0.56
                                                                    gtraces_v2_tango_0004 16996482       3054696       0           0            31146083       2096593       18197267     2119538      3920800        874167       14747126     4107140      777643        558669         4748311     3566303     0.61
                                                                   gtraces_v2_yankee_0000 13379686       2944212       0           0            33890659       2298668       21135597     2682794      4038924       1172364       18637560     6436150      967911        698259         6035486     4373536     0.58
                                                                   gtraces_v2_yankee_0001 13253519       2629004       0           0            33743234       2212660       21145770     2651057      3746534       1110779       17979174     6265943      913316        665943         5994845     4366783     0.59
                                                                   gtraces_v2_yankee_0002 14839955       2111287       0           0            32074481       1823965       19051057     2212056      3025107        858383       14556249     4778550      708258        492801         4572869     3290668     0.72
                                                                   gtraces_v2_yankee_0003 13253763       2872304       0           0            33975774       2251227       21633276     2672174      3960080       1151835       18521572     6394961      948689        653001         6007307     4290144     0.59
                                                                   gtraces_v2_yankee_0004 13339486       2710988       0           0            33964402       2300327       21791141     2745464      3877799       1132635       18572770     6415388      934439        658844         6085566     4358406     0.58
