Filename,L1D_LOAD_Access,L1D_LOAD_MissRate(%),L1D_PREFETCH_Access,L1D_PREFETCH_MissRate(%),L2C_LOAD_Access,L2C_LOAD_MissRate(%),L2C_PREFETCH_Access,L2C_PREFETCH_MissRate(%),LLC_LOAD_Access,LLC_LOAD_MissRate(%),LLC_PREFETCH_Access,LLC_PREFETCH_MissRate(%),IPC
Graph_GMS_gms.k_clique_list_danisch_node_parallel.soc-pokec-relationships.slice-248,45850911,7.83,0,0.00,2291364,46.49,0,0.00,1065236,54.74,0,0.00,0.90
Graph_GMS_gms.k_clique_list_danisch_serial.soc-pokec-relationships.slice-4,25192097,8.93,0,0.00,524664,100.00,0,0.00,524664,100.00,0,0.00,2.00
Graph_GMS_gms.k_clique_star_list.soc-pokec-relationships.slice-1291,31612592,3.01,0,0.00,418095,94.59,0,0.00,395479,99.31,0,0.00,1.15
Graph_GMS_gms.maximal_clique_enum_bron_kerbosch.soc-pokec-relationships.slice-3852,44393695,27.90,0,0.00,1389085,85.27,0,0.00,1184415,24.87,0,0.00,1.86
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-117,34633146,13.35,0,0.00,1561095,98.91,0,0.00,1544129,99.38,0,0.00,0.49
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-137,38252878,13.23,0,0.00,2526495,99.20,0,0.00,2506408,99.55,0,0.00,0.35
Graph_GMS_gms.triangle_count.soc-pokec-relationships.slice-360,38699547,13.25,0,0.00,2715860,98.83,0,0.00,2684114,98.24,0,0.00,0.34
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_15500M.length_250M,17588969,82.28,0,0.00,1527217,100.00,0,0.00,1527181,100.00,0,0.00,0.71
Graph_Ligra_ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,14576879,43.73,0,0.00,2760026,66.64,0,0.00,1839341,57.15,0,0.00,1.29
Graph_Ligra_ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_22250M.length_250M,19520831,64.02,0,0.00,2719292,100.00,0,0.00,2719292,100.00,0,0.00,0.50
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_154750M.length_250M,17665243,81.27,0,0.00,3215138,100.00,0,0.00,3215138,100.00,0,0.00,0.53
Graph_Ligra_ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,30790202,25.20,0,0.00,2116119,90.71,0,0.00,1919586,98.34,0,0.00,0.91
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,14581903,43.72,0,0.00,2758788,66.68,0,0.00,1839629,57.10,0,0.00,1.29
Graph_Ligra_ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,51818329,36.35,0,0.00,15049184,56.65,0,0.00,8525449,64.13,0,0.00,0.38
Graph_Ligra_ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,21992980,51.36,0,0.00,2789795,86.96,0,0.00,2426060,100.00,0,0.00,0.49
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_15750M.length_250M,21989146,51.36,0,0.00,2789343,86.98,0,0.00,2426057,100.00,0,0.00,0.49
Graph_Ligra_ligra_MIS.com-lj.ungraph.gcc_6.3.0_O3.drop_21250M.length_250M,48704290,26.40,0,0.00,6075027,23.58,0,0.00,1432550,99.25,0,0.00,0.70
Graph_Ligra_ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_51000M.length_250M,42365948,48.70,0,0.00,17350514,21.10,0,0.00,3661227,69.50,0,0.00,0.87
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_17000M.length_250M,14610014,43.89,0,0.00,2783055,67.16,0,0.00,1869122,56.36,0,0.00,1.29
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_24000M.length_250M,28902485,36.57,0,0.00,5676812,54.77,0,0.00,3109047,88.88,0,0.00,0.68
Graph_Ligra_ligra_PageRankDelta.com-lj.ungraph.gcc_6.3.0_O3.drop_6000M.length_250M,33815284,19.83,0,0.00,1912037,100.00,0,0.00,1912037,100.00,0,0.00,0.62
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_24500M.length_250M,46145265,38.19,0,0.00,11582850,28.83,0,0.00,3338803,88.75,0,0.00,0.47
Graph_Ligra_ligra_Radii.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,38950640,30.85,0,0.00,7277423,92.04,0,0.00,6698485,92.59,0,0.00,0.26
Graph_Ligra_ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M,46691703,23.06,0,0.00,6942997,53.74,0,0.00,3730891,73.69,0,0.00,0.36
