Summary for 1C.fullBW.cmc_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1I_LOAD_Acc  L1I_LOAD_Miss  L1I_PF_Acc  L1I_PF_Miss  L1D_LOAD_Acc  L1D_LOAD_Miss  L1D_PF_Acc  L1D_PF_Miss  L2C_LOAD_Acc  L2C_LOAD_Miss  L2C_PF_Acc  L2C_PF_Miss  LLC_LOAD_Acc  LLC_LOAD_Miss  LLC_PF_Acc  LLC_PF_Miss  IPC
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.5 23760987           506       0           0            30475317      12178050       0           0            10167458       4160836        19406094   12868554     2099693       1642641         7759971     6866223     1.85
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.1 29263537          1842       0           0            60626525      30220372       0           0            28651278      26835997        86742921   85482904     7707853       7271635        45764894    45230892     0.59
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.2 29809748          3496       0           0            63157159      32888517       0           0            27766187      25956016        87189753   85606590     5880256       5445755        45984989    45466602     0.60
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.3 30009883          1792       0           0            62717397      32524291       0           0            28680924      26773481        79064169   77853310     9310356       8867409        44081727    43544415     0.59
                                                                       ai-ml_clip_trace_1 22851898             0       0           0            48979656       3563453       0           0             2073225        682259         6231890    2351207      310847        208895         1121953      997060     3.52
                                                                       ai-ml_clip_trace_3 22568811           138       0           0            48512315       3784652       0           0             2165351        815207         7057813    2933777      368352        244760         1483586     1191193     3.18
                                                             ai-ml_llama2.c-stories110M.1 25700806           154       0           0            36671524      17558066       0           0             7000496       6878327        30679317   29910886     1520692       1254872        12216373    11911512     1.80
                                                             ai-ml_llama2.c-stories110M.2 26011267           159       0           0            37284125      17819418       0           0             7001098       6779490        30065883   29189447     1359148       1128175        12381528    12070502     1.83
                                                             ai-ml_llama2.c-stories110M.3 25451778           169       0           0            37234218      17904615       0           0             7000938       6685912        29010695   27806118     1407891       1045913        12330341    11882232     1.82
                                                              ai-ml_llama2.c-stories15M.1 17391310            51       0           0            36788819      17342426       0           0             6765723       6287042        29108477   26356787     1602850       1018953        11654591    10442988     2.00
                                                              ai-ml_llama2.c-stories15M.2 17722262             4       0           0            37097907      16987088       0           0             6675200       5298003        26019687   23168045     1306796        881605        11691217    10747394     2.06
                                                              ai-ml_llama2.c-stories15M.3 17685633             0       0           0            37124510      17138016       0           0             6671935       6153078        28792777   25849964     1551957        987183        11440188    10245776     1.98
                                                              ai-ml_llama2.c-stories42M.1 22350813            14       0           0            36510622      17480241       0           0             6941792       6514077        28879836   26933592     1625096        759022        11973890    11178940     1.94
                                                              ai-ml_llama2.c-stories42M.2 23299166           144       0           0            37089614      17723891       0           0             6934582       6559655        29483247   27597614     1559097        782514        12010211    11168798     1.94
                                                              ai-ml_llama2.c-stories42M.3 22355770             7       0           0            36868999      17630856       0           0             6943190       6598119        29675167   27815795     1637369        813557        11955006    11129343     1.92
                                                                       ai-ml_rwkv_trace_1 43574520             0       0           0            35356648      32659519       0           0            32619404       8275709       105580570   36298231     4976209       2950025        59246532    39151908     0.12
                                                                       ai-ml_rwkv_trace_2 38600416             0       0           0            51030115      24576792       0           0            21560572      21284724        77515423   76608177     8239717       7860968        33772471    33674765     0.68
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.1 49297900             0       0           0            60016119      51597953       0           0            49599243       2372001        13395728    3097156     1417688        762606         3360818     2626491     2.35
                                                ai-ml_stable-diffusion.cpp-sd-v1-4.ckpt.2 43927731             0       0           0            59735812      25949980       0           0            25563759       1482957        25653763    2677272      756178        725778         2202575     2148298     2.69
