Summary for 1C.fullBW.berti_pythia_sms_default
======================================================================================================================================================
Filename                                                                                   L1D_LOAD_Access  L1D_LOAD_MissRate(%)  L1D_PREFETCH_Access  L1D_PREFETCH_MissRate(%)  L2C_LOAD_Access  L2C_LOAD_MissRate(%)  L2C_PREFETCH_Access  L2C_PREFETCH_MissRate(%)  LLC_LOAD_Access  LLC_LOAD_MissRate(%)  LLC_PREFETCH_Access  LLC_PREFETCH_MissRate(%)  IPC
                                                                   SPEC17_654.roms_s-523B 39366014          2.97                  3226728              95.20                      228257         54.13                  17806283            34.41                      103305          94.24                  6505133             65.77                     1.68
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.1 48634793          3.84                  1733944              77.58                     1296727         53.89                   7143688            39.48                      444026          38.22                  1910599             49.37                     3.26
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.2 51183670         20.74                  7705570              63.27                     9075906          7.54                  16705773            13.80                      413047          53.35                  2359615             55.82                     3.08
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.4 52307326         23.51                  8987624              58.25                    10748553          7.95                  22782888            17.13                      402626          56.59                  2417652             65.92                     2.65
                                             ai-ml_bark.cpp-bark-small.coarse_token_gen.5 29251156         37.31                  5197340              74.01                     7798602         26.34                  20449915            65.55                     1152835          88.58                  8745472             87.89                     1.89
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.1 60092533         49.13                 12148131              80.74                    25974039         93.24                  63812938            97.46                     6298012          95.84                 47230436             98.70                     0.59
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.2 61721588         50.22                 13635533              90.72                    23505464         92.71                  75949608            97.27                     5387238          95.80                 46537600             98.76                     0.60
                                                ai-ml_biogpt.cpp-ggml-model-tocilizumab.3 62082230         51.08                 13094308              85.21                    25499437         93.08                  79921258            97.77                     6022265          95.35                 47433183             98.64                     0.59
                                                                       ai-ml_clip_trace_1 48201159          4.63                 10498032              16.55                      750981         25.60                   8369071            34.21                      121621          75.31                  1311899             86.31                     3.54
                                                                       ai-ml_clip_trace_3 47875304          5.26                  8828924              20.38                      890477         32.67                   9159352            36.49                      180383          65.51                  1676068             79.09                     3.21
